Word,Frequency,lgFreq,,,,,
seat,333,2.522444234,,,,,
necessary,14,1.146128036,,,,,
pen,482,2.683047038,,,,,
robe,12,1.079181246,,,,,
slim,0,0,,,,,
clearly,14,1.146128036,,,,,
bathroom,374,2.572871602,,,,,
bandage,15,1.176091259,,,,,
just,8794,3.944186461,,,,,
terribly,7,0.84509804,,,,,
animal,366,2.563481085,,,,,
cart,92,1.963787827,,,,,
much,1534,3.18582536,,,,,
prison,4,0.602059991,,,,,
victor,1,0,,,,,
operation,5,0.698970004,,,,,
mention,6,0.77815125,,,,,
shortly,3,0.477121255,,,,,
fellow,68,1.832508913,,,,,
manage,13,1.113943352,,,,,
union,1,0,,,,,
bell,179,2.252853031,,,,,
general,15,1.176091259,,,,,
national,2,0.301029996,,,,,
seed,28,1.447158031,,,,,
ray,13,1.113943352,,,,,
compare,4,0.602059991,,,,,
zipper,161,2.206825876,,,,,
old-fashioned,0,0,,,,,
blankets,54,1.73239376,,,,,
history,6,0.77815125,,,,,
elbow,38,1.579783597,,,,,
devil,32,1.505149978,,,,,
pet,192,2.283301229,,,,,
state,15,1.176091259,,,,,
uneasily,0,0,,,,,
nose,1576,3.197556213,,,,,
dog,1657,3.219322508,,,,,
except,136,2.133538908,,,,,
ice cream,0,0,,,,,
miller,12,1.079181246,,,,,
boots,164,2.214843848,,,,,
finger,693,2.840733235,,,,,
spoon,844,2.926342447,,,,,
done,1524,3.182984967,,,,,
won,69,1.838849091,,,,,
solid,13,1.113943352,,,,,
overcoat,1,0,,,,,
go,20679,4.315529533,,,,,
same,710,2.851258349,,,,,
grandson,8,0.903089987,,,,,
ready,1986,3.297979244,,,,,
surprise,114,2.056904851,,,,,
shine,20,1.301029996,,,,,
ran,188,2.274157849,,,,,
oxygen,1,0,,,,,
fast,491,2.691081492,,,,,
reach,295,2.469822016,,,,,
took,724,2.859738566,,,,,
no,22791,4.357763381,,,,,
alligator,159,2.201397124,,,,,
clown,225,2.352182518,,,,,
gorilla,55,1.740362689,,,,,
wind,297,2.472756449,,,,,
ride,1058,3.024485668,,,,,
pay,144,2.158362492,,,,,
calm,72,1.857332496,,,,,
learned,95,1.977723605,,,,,
plan,40,1.602059991,,,,,
sunny,63,1.799340549,,,,,
his,5465,3.737590166,,,,,
quiet,313,2.495544338,,,,,
pound,46,1.662757832,,,,,
weight,9,0.954242509,,,,,
turn,2853,3.455301772,,,,,
flippers,2,0.301029996,,,,,
sandy,58,1.763427994,,,,,
bumper,10,1,,,,,
trunks,13,1.113943352,,,,,
myself,129,2.11058971,,,,,
eleven,141,2.149219113,,,,,
muddy,35,1.544068044,,,,,
hang,391,2.592176757,,,,,
sigh,8,0.903089987,,,,,
captain,39,1.591064607,,,,,
finding,47,1.672097858,,,,,
wife,58,1.763427994,,,,,
companion,2,0.301029996,,,,,
below,26,1.414973348,,,,,
planet,22,1.342422681,,,,,
seeing,69,1.838849091,,,,,
jump,841,2.924795996,,,,,
tired,793,2.899273187,,,,,
jack,204,2.309630167,,,,,
come,10653,4.027471927,,,,,
codfish,0,0,,,,,
dial,43,1.633468456,,,,,
soft,306,2.485721426,,,,,
rat,37,1.568201724,,,,,
drove,44,1.643452676,,,,,
far,357,2.552668216,,,,,
often,41,1.612783857,,,,,
wig,7,0.84509804,,,,,
folks,8,0.903089987,,,,,
mule,15,1.176091259,,,,,
sill,13,1.113943352,,,,,
scratch,140,2.146128036,,,,,
bull,25,1.397940009,,,,,
piece,1092,3.038222638,,,,,
trainer,2,0.301029996,,,,,
above,50,1.698970004,,,,,
over,5567,3.745621221,,,,,
dirty,743,2.870988814,,,,,
mellon,0,0,,,,,
pill,21,1.322219295,,,,,
tracks,72,1.857332496,,,,,
dangerous,128,2.10720997,,,,,
fiddle,15,1.176091259,,,,,
hamster,27,1.431363764,,,,,
clerk,0,0,,,,,
slipped,29,1.462397998,,,,,
hunt,26,1.414973348,,,,,
police,43,1.633468456,,,,,
wrecked,15,1.176091259,,,,,
dressing,21,1.322219295,,,,,
anyone,73,1.86332286,,,,,
desk,107,2.029383778,,,,,
dizzy,45,1.653212514,,,,,
ribbon,111,2.045322979,,,,,
entrance,3,0.477121255,,,,,
space,140,2.146128036,,,,,
tennis,64,1.806179974,,,,,
lives,225,2.352182518,,,,,
bake,91,1.959041392,,,,,
printing,3,0.477121255,,,,,
read,2135,3.329397879,,,,,
tomorrow,612,2.786751422,,,,,
found,668,2.824776462,,,,,
bee,168,2.225309282,,,,,
pile,93,1.968482949,,,,,
vase,28,1.447158031,,,,,
frown,4,0.602059991,,,,,
low,63,1.799340549,,,,,
trap,9,0.954242509,,,,,
hut,34,1.531478917,,,,,
plop,11,1.041392685,,,,,
mayor,2,0.301029996,,,,,
not,11975,4.078275522,,,,,
professor,12,1.079181246,,,,,
smack,16,1.204119983,,,,,
tunnel,167,2.222716471,,,,,
fisher,7,0.84509804,,,,,
company,45,1.653212514,,,,,
story,1044,3.018700499,,,,,
ghost,65,1.812913357,,,,,
also,253,2.403120521,,,,,
dragon,163,2.212187604,,,,,
fudge,24,1.380211242,,,,,
cream,551,2.741151599,,,,,
those,4334,3.636888907,,,,,
bin,13,1.113943352,,,,,
pointed,33,1.51851394,,,,,
wave,126,2.100370545,,,,,
takes,196,2.292256071,,,,,
peep,54,1.73239376,,,,,
scout,1,0,,,,,
price,19,1.278753601,,,,,
packing,13,1.113943352,,,,,
pleasure,9,0.954242509,,,,,
heal,5,0.698970004,,,,,
itch,27,1.431363764,,,,,
able,274,2.437750563,,,,,
barrel,102,2.008600172,,,,,
crumble,3,0.477121255,,,,,
pedal,11,1.041392685,,,,,
crate,1,0,,,,,
opposite,19,1.278753601,,,,,
might,1146,3.059184618,,,,,
cafe,7,0.84509804,,,,,
only,977,2.989894564,,,,,
sports,7,0.84509804,,,,,
body,189,2.276461804,,,,,
meal,50,1.698970004,,,,,
skis,7,0.84509804,,,,,
dart,5,0.698970004,,,,,
stadium,4,0.602059991,,,,,
kill,64,1.806179974,,,,,
escape,18,1.255272505,,,,,
torn,20,1.301029996,,,,,
bakery,8,0.903089987,,,,,
taught,64,1.806179974,,,,,
program,31,1.491361694,,,,,
hundred,49,1.69019608,,,,,
clay,90,1.954242509,,,,,
route,4,0.602059991,,,,,
send,92,1.963787827,,,,,
struggled,2,0.301029996,,,,,
gotten,63,1.799340549,,,,,
thick,35,1.544068044,,,,,
mop,70,1.84509804,,,,,
guy,559,2.747411808,,,,,
stall,12,1.079181246,,,,,
toad,4,0.602059991,,,,,
icebox,0,0,,,,,
size,109,2.037426498,,,,,
probably,741,2.869818208,,,,,
sting,32,1.505149978,,,,,
anyway,277,2.442479769,,,,,
waterfall,29,1.462397998,,,,,
sleeve,47,1.672097858,,,,,
gums,18,1.255272505,,,,,
put,14984,4.175627764,,,,,
of,14340,4.156549151,,,,,
sandbox,64,1.806179974,,,,,
savings,2,0.301029996,,,,,
avalanche,0,0,,,,,
oil,52,1.716003344,,,,,
syrup,27,1.431363764,,,,,
flicker,2,0.301029996,,,,,
eighty,22,1.342422681,,,,,
stump,12,1.079181246,,,,,
enthusiasm,1,0,,,,,
pox,9,0.954242509,,,,,
vitamin,37,1.568201724,,,,,
hail,0,0,,,,,
apart,304,2.482873584,,,,,
happening,250,2.397940009,,,,,
yard,150,2.176091259,,,,,
mind,198,2.29666519,,,,,
chalk,105,2.021189299,,,,,
restaurant,75,1.875061263,,,,,
railroad,49,1.69019608,,,,,
past,76,1.880813592,,,,,
solve,5,0.698970004,,,,,
trunk,156,2.193124598,,,,,
stick,579,2.762678564,,,,,
slide,485,2.685741739,,,,,
adult,9,0.954242509,,,,,
cheek,53,1.72427587,,,,,
robber,9,0.954242509,,,,,
faraway,1,0,,,,,
breath,23,1.361727836,,,,,
slave,10,1,,,,,
university,16,1.204119983,,,,,
studied,1,0,,,,,
lap,285,2.45484486,,,,,
bag,890,2.949390007,,,,,
fare,1,0,,,,,
pup,21,1.322219295,,,,,
punish,4,0.602059991,,,,,
mighty,8,0.903089987,,,,,
bold,0,0,,,,,
inch,4,0.602059991,,,,,
mask,74,1.86923172,,,,,
toast,379,2.57863921,,,,,
sometimes,577,2.761175813,,,,,
nut,92,1.963787827,,,,,
couch,244,2.387389826,,,,,
walkie-talkie,1,0,,,,,
pie,227,2.356025857,,,,,
deed,0,0,,,,,
glorious,2,0.301029996,,,,,
shift,4,0.602059991,,,,,
somehow,20,1.301029996,,,,,
dope,21,1.322219295,,,,,
leaves,239,2.378397901,,,,,
cupboard,41,1.612783857,,,,,
rate,3,0.477121255,,,,,
dwarf,0,0,,,,,
ear,350,2.544068044,,,,,
table,1204,3.080626487,,,,,
ladybug,62,1.792391689,,,,,
thumb,171,2.23299611,,,,,
jinx,2,0.301029996,,,,,
egg,644,2.808885867,,,,,
fade,3,0.477121255,,,,,
gang,3,0.477121255,,,,,
bathtub,298,2.474216264,,,,,
vacuum,100,2,,,,,
shoe,622,2.793790385,,,,,
scarcely,0,0,,,,,
vacant,0,0,,,,,
banana,384,2.584331224,,,,,
jacket,167,2.222716471,,,,,
mouth,1626,3.211120541,,,,,
git,2,0.301029996,,,,,
hi,2810,3.44870632,,,,,
eating,1171,3.068556895,,,,,
fun,1017,3.007320953,,,,,
smell,383,2.583198774,,,,,
big,5859,3.767823498,,,,,
bye,613,2.787460475,,,,,
sunset,7,0.84509804,,,,,
near,124,2.093421685,,,,,
alphabet,53,1.72427587,,,,,
night,1228,3.089198367,,,,,
sharp,136,2.133538908,,,,,
reading,277,2.442479769,,,,,
daytime,20,1.301029996,,,,,
sing,907,2.957607287,,,,,
woof,277,2.442479769,,,,,
helping,97,1.986771734,,,,,
new,1531,3.184975191,,,,,
some,8814,3.945173046,,,,,
look,11232,4.050457095,,,,,
the,91294,4.960442236,,,,,
four,1040,3.017033339,,,,,
golf,63,1.799340549,,,,,
busy,298,2.474216264,,,,,
swimming,531,2.725094521,,,,,
count,367,2.564666064,,,,,
petted,7,0.84509804,,,,,
flip,51,1.707570176,,,,,
leap,12,1.079181246,,,,,
drip,35,1.544068044,,,,,
meet,113,2.053078443,,,,,
falls,88,1.944482672,,,,,
tractor,289,2.460897843,,,,,
because,4590,3.661812686,,,,,
hearing,20,1.301029996,,,,,
right,14193,4.152074203,,,,,
written,12,1.079181246,,,,,
board,133,2.123851641,,,,,
asleep,232,2.365487985,,,,,
stuffed,44,1.643452676,,,,,
deer,89,1.949390007,,,,,
idea,708,2.850033258,,,,,
slowly,43,1.633468456,,,,,
clubhouse,0,0,,,,,
white,581,2.764176132,,,,,
twelve,151,2.178976947,,,,,
hide,261,2.416640507,,,,,
flute,22,1.342422681,,,,,
square,301,2.478566496,,,,,
bottom,381,2.580924976,,,,,
feelings,11,1.041392685,,,,,
pocketbook,126,2.100370545,,,,,
made,1213,3.083860801,,,,,
fear,23,1.361727836,,,,,
pitcher,33,1.51851394,,,,,
more,5689,3.755035934,,,,,
run,631,2.800029359,,,,,
horseback,1,0,,,,,
pane,0,0,,,,,
shape,165,2.217483944,,,,,
crew,8,0.903089987,,,,,
otter,6,0.77815125,,,,,
trick,151,2.178976947,,,,,
crash,178,2.250420002,,,,,
ourselves,34,1.531478917,,,,,
senior,1,0,,,,,
diner,11,1.041392685,,,,,
wheeled,2,0.301029996,,,,,
suds,16,1.204119983,,,,,
any,2484,3.395151592,,,,,
wonderful,133,2.123851641,,,,,
speed,13,1.113943352,,,,,
switch,138,2.139879086,,,,,
bullet,6,0.77815125,,,,,
trace,8,0.903089987,,,,,
swinging,72,1.857332496,,,,,
gun,120,2.079181246,,,,,
rhyme,20,1.301029996,,,,,
difficult,30,1.477121255,,,,,
lookout,2,0.301029996,,,,,
promise,34,1.531478917,,,,,
king,184,2.264817823,,,,,
moon,248,2.394451681,,,,,
girl,2400,3.380211242,,,,,
inventor,0,0,,,,,
nest,80,1.903089987,,,,,
whiskers,59,1.770852012,,,,,
vine,7,0.84509804,,,,,
shotgun,0,0,,,,,
teach,100,2,,,,,
care,325,2.511883361,,,,,
middle,217,2.336459734,,,,,
you,140104,5.146450535,,,,,
buggy,25,1.397940009,,,,,
choir,1,0,,,,,
nice,3577,3.55351894,,,,,
score,4,0.602059991,,,,,
hound,8,0.903089987,,,,,
spring,56,1.748188027,,,,,
fantastic,19,1.278753601,,,,,
taxi,45,1.653212514,,,,,
left-hand,0,0,,,,,
he,17022,4.231010586,,,,,
touch,605,2.781755375,,,,,
shaking,74,1.86923172,,,,,
stuck,570,2.755874856,,,,,
cap,47,1.672097858,,,,,
chase,64,1.806179974,,,,,
held,46,1.662757832,,,,,
rattlesnake,4,0.602059991,,,,,
maybe,2632,3.420285885,,,,,
diver,5,0.698970004,,,,,
boom,696,2.84260924,,,,,
helicopter,94,1.973127854,,,,,
base,16,1.204119983,,,,,
well,8530,3.930949031,,,,,
colorful,11,1.041392685,,,,,
got,7422,3.87052095,,,,,
librarian,5,0.698970004,,,,,
this,26110,4.416806872,,,,,
hot,1105,3.043362278,,,,,
message,30,1.477121255,,,,,
uniform,14,1.146128036,,,,,
dry,525,2.720159303,,,,,
shoot,145,2.161368002,,,,,
soggy,6,0.77815125,,,,,
flame,0,0,,,,,
kettle,17,1.230448921,,,,,
oar,5,0.698970004,,,,,
born,119,2.075546961,,,,,
snap,227,2.356025857,,,,,
screen,35,1.544068044,,,,,
bloom,2,0.301029996,,,,,
list,61,1.785329835,,,,,
steel,2,0.301029996,,,,,
catcher,5,0.698970004,,,,,
test,26,1.414973348,,,,,
fright,1,0,,,,,
ax,37,1.568201724,,,,,
cooking,143,2.155336037,,,,,
furry,16,1.204119983,,,,,
scared,298,2.474216264,,,,,
freckles,2,0.301029996,,,,,
routine,7,0.84509804,,,,,
tear,159,2.201397124,,,,,
parachute,10,1,,,,,
discussion,8,0.903089987,,,,,
pierce,2,0.301029996,,,,,
loot,0,0,,,,,
umpire,0,0,,,,,
college,21,1.322219295,,,,,
kiss,922,2.964730921,,,,,
cactus,20,1.301029996,,,,,
punch,107,2.029383778,,,,,
collection,13,1.113943352,,,,,
badly,13,1.113943352,,,,,
class,93,1.968482949,,,,,
ham,41,1.612783857,,,,,
seventh,21,1.322219295,,,,,
fancy,47,1.672097858,,,,,
kit,96,1.982271233,,,,,
usually,282,2.450249108,,,,,
gymnasium,0,0,,,,,
brook,6,0.77815125,,,,,
lighter,14,1.146128036,,,,,
between,101,2.004321374,,,,,
pine,33,1.51851394,,,,,
ranch,9,0.954242509,,,,,
scare,113,2.053078443,,,,,
dropping,25,1.397940009,,,,,
plans,15,1.176091259,,,,,
grown-up,0,0,,,,,
sprout,2,0.301029996,,,,,
under,961,2.982723388,,,,,
drag,11,1.041392685,,,,,
tube,23,1.361727836,,,,,
cotton,36,1.556302501,,,,,
dying,14,1.146128036,,,,,
handsome,76,1.880813592,,,,,
parrot,35,1.544068044,,,,,
decide,66,1.819543936,,,,,
snug,8,0.903089987,,,,,
iron,111,2.045322979,,,,,
aloud,2,0.301029996,,,,,
racer,1,0,,,,,
pan,124,2.093421685,,,,,
rang,12,1.079181246,,,,,
hugged,16,1.204119983,,,,,
catch,535,2.728353782,,,,,
cent,10,1,,,,,
following,33,1.51851394,,,,,
kangaroo,177,2.247973266,,,,,
pretend,490,2.69019608,,,,,
passing,2,0.301029996,,,,,
farther,19,1.278753601,,,,,
storeroom,0,0,,,,,
blown,14,1.146128036,,,,,
canal,20,1.301029996,,,,,
everyday,46,1.662757832,,,,,
neighborhood,26,1.414973348,,,,,
navy,10,1,,,,,
line,203,2.307496038,,,,,
beard,80,1.903089987,,,,,
pony,128,2.10720997,,,,,
when,5506,3.740836207,,,,,
rancher,0,0,,,,,
striped,18,1.255272505,,,,,
file,8,0.903089987,,,,,
lazily,0,0,,,,,
hour,128,2.10720997,,,,,
blossom,0,0,,,,,
report,3,0.477121255,,,,,
sum,0,0,,,,,
band,73,1.86332286,,,,,
explain,34,1.531478917,,,,,
brought,336,2.526339277,,,,,
meaning,7,0.84509804,,,,,
nearby,14,1.146128036,,,,,
length,7,0.84509804,,,,,
equipment,15,1.176091259,,,,,
baker,33,1.51851394,,,,,
jug,37,1.568201724,,,,,
lab,8,0.903089987,,,,,
magazine,121,2.08278537,,,,,
plow,14,1.146128036,,,,,
swamp,3,0.477121255,,,,,
bud,50,1.698970004,,,,,
fort,10,1,,,,,
downstairs,366,2.563481085,,,,,
twig,0,0,,,,,
patient,30,1.477121255,,,,,
record,231,2.36361198,,,,,
thump,12,1.079181246,,,,,
silver,24,1.380211242,,,,,
picnic,116,2.064457989,,,,,
mushroom,38,1.579783597,,,,,
knowing,3,0.477121255,,,,,
afraid,224,2.350248018,,,,,
AM,873,2.941014244,,,,,
hike,30,1.477121255,,,,,
measure,34,1.531478917,,,,,
impatient,6,0.77815125,,,,,
cliff,20,1.301029996,,,,,
tumble,20,1.301029996,,,,,
limp,0,0,,,,,
velvet,2,0.301029996,,,,,
feast,3,0.477121255,,,,,
thought,1208,3.082066934,,,,,
weigh,23,1.361727836,,,,,
treat,70,1.84509804,,,,,
years,182,2.260071388,,,,,
especially,31,1.491361694,,,,,
splash,165,2.217483944,,,,,
chunk,6,0.77815125,,,,,
recipe,11,1.041392685,,,,,
farmer,159,2.201397124,,,,,
greenhouse,0,0,,,,,
dugout,0,0,,,,,
attend,0,0,,,,,
pressure,6,0.77815125,,,,,
chimney,110,2.041392685,,,,,
supposed,110,2.041392685,,,,,
upside,325,2.511883361,,,,,
horn,147,2.167317335,,,,,
road,272,2.434568904,,,,,
chart,10,1,,,,,
fail,5,0.698970004,,,,,
jealous,13,1.113943352,,,,,
cone,77,1.886490725,,,,,
ugly,90,1.954242509,,,,,
tug,5,0.698970004,,,,,
cost,61,1.785329835,,,,,
shears,3,0.477121255,,,,,
free,85,1.929418926,,,,,
city,116,2.064457989,,,,,
explorer,0,0,,,,,
ditch,6,0.77815125,,,,,
halfway,12,1.079181246,,,,,
lettuce,115,2.06069784,,,,,
skill,1,0,,,,,
violet,18,1.255272505,,,,,
quit,117,2.068185862,,,,,
swear,3,0.477121255,,,,,
cod,5,0.698970004,,,,,
pickle,44,1.643452676,,,,,
eyed,5,0.698970004,,,,,
dribble,6,0.77815125,,,,,
garage,193,2.285557309,,,,,
liquid,9,0.954242509,,,,,
rope,120,2.079181246,,,,,
strip,6,0.77815125,,,,,
woolen,0,0,,,,,
barley,8,0.903089987,,,,,
cough,133,2.123851641,,,,,
worm,89,1.949390007,,,,,
rink,3,0.477121255,,,,,
chance,66,1.819543936,,,,,
wizard,10,1,,,,,
junior,2,0.301029996,,,,,
hall,66,1.819543936,,,,,
hers,71,1.851258349,,,,,
author,0,0,,,,,
then,5482,3.738939031,,,,,
spoke,5,0.698970004,,,,,
sink,189,2.276461804,,,,,
trot,14,1.146128036,,,,,
washer,10,1,,,,,
stole,32,1.505149978,,,,,
arriving,5,0.698970004,,,,,
carve,12,1.079181246,,,,,
riddle,1,0,,,,,
stretcher,0,0,,,,,
either,484,2.684845362,,,,,
rode,48,1.681241237,,,,,
else,3619,3.558588583,,,,,
can,18968,4.278021541,,,,,
worn,19,1.278753601,,,,,
flag,44,1.643452676,,,,,
consider,7,0.84509804,,,,,
furiously,0,0,,,,,
hint,70,1.84509804,,,,,
letter,407,2.609594409,,,,,
golden,31,1.491361694,,,,,
spit,166,2.220108088,,,,,
touchdown,0,0,,,,,
basket,387,2.587710965,,,,,
capital,2,0.301029996,,,,,
