Word,N,Mean,SD
blacksmith,25,2.64,1.868154169
blade,46,3.282608696,1.85787266
blame,23,1.956521739,1.397343612
blanket,25,6.8,0.5
blankets,46,6.695652174,0.865885936
blast,31,1.64516129,1.141589158
bleed,24,4.166666667,2.407717062
bless,24,2.041666667,1.966660526
blew,25,3.36,2.252406121
blind,25,2.96,2.091251619
blink,29,3.862068966,2.488891577
blizzard,26,4.346153846,2.3484856
block,23,6.043478261,1.223937791
blonde,25,3.08,2.019075696
blood,27,4.777777778,1.671787006
bloom,23,3.913043478,2.130152438
blossom,23,4.565217391,1.926515624
blossoms,30,3.866666667,2.046583921
blow,48,3.791666667,2.492186371
blown,23,3.173913043,1.96912934
blue,24,5.541666667,2.225917821
blueberry,28,6.214285714,1.618347187
blues,36,1.972222222,1.275843947
blur,26,1.576923077,1.064822123
blush,33,3.242424242,2.222474733
board,23,5.130434783,2.39894575
boat,33,5.696969697,2.128450852
bob,32,2.53125,1.741048535
bobbed,24,1.666666667,1.464557113
body,33,6.363636364,1.597227712
bold,31,1.870967742,1.499820778
bolt,24,2.666666667,1.88048714
bone,28,5.214285714,1.571909498
bonnet,27,2.592592593,2.042985358
bony,32,2.75,1.79605302
book,26,6.923076923,0.271746488
bookcase,25,6.16,1.462873884
boom,23,2.956521739,2.184204887
boot,26,6.846153846,0.464095481
booth,25,3.4,1.979057015
boots,47,6.893617021,0.374980727
born,23,2.695652174,2.141256696
borrow,24,2.25,1.823756277
boss,24,3.708333333,2.053187695
bossy,28,2.464285714,1.99038695
both,27,3.074074074,2.448326366
bother,27,2.888888889,2.172083957
bottle,25,6.4,1.190238071
bottom,23,4.391304348,2.36910283
bought,32,4,2.355501453
bounce,25,4.08,2.612789059
bow,27,5.148148148,2.125010474
bowl,30,6.866666667,0.345745904
box,25,6.8,0.645497224
boy,23,6.173913043,1.370208143
brag,24,2,1.532261755
braille,24,3.375,2.550575383
brain,27,3.222222222,2.063106943
brake,31,3.225806452,1.927168517
bran,25,2.56,2.042873793
branch,33,5.424242424,1.871334802
brand,25,2.28,1.744515214
brass,28,2.428571429,1.751794243
brave,30,3.5,2.34520788
bravery,46,2.195652174,1.771622799
bread,26,6.961538462,0.196116135
break,44,4.181818182,2.470973137
breakfast,23,6.869565217,0.457696587
breast,24,3.416666667,2.062431378
breath,35,4.914285714,2.240948179
breathe,26,4.461538462,2.336335066
breeze,25,4.28,1.744515214
brick,28,5,1.981394944
bridge,25,4.92,1.754042949
bright,26,3.653846154,2.096517259
bring,30,3.933333333,2.448551061
brisk,25,2.36,1.496662955
broad,24,1.666666667,1.239448218
broke,26,3.923076923,2.431840076
broken,24,4.125,2.271036921
brook,23,3.217391304,2.043982782
broom,26,5.615384615,2.118054259
brother,36,5.805555556,1.848852068
brought,23,2.826086957,1.898616097
brown,25,4.76,2.332380758
brownie,25,5.76,1.690167645
brush,39,6.692307692,0.893068223
brushes,32,5.84375,1.815868672
bubble,28,6.107142857,1.370030703
bubbles,23,6.608695652,0.656376447
buck,29,2.862068966,1.574895414
bucket,28,6.357142857,1.253566341
bud,23,4.304347826,1.869243469
buffalo,27,3.444444444,2.118296364
bug,32,5.59375,1.864081111
buggy,23,3.260869565,2.220102195
build,46,4.391304348,2.426504215
building,46,5.369565217,1.913213651
built,28,3.892857143,2.454614486
bulb,25,4.64,2.23383079
bull,32,3.0625,2.139301966
bulldozer,27,3.851851852,2.364866295
bullet,23,3.782608696,2.275492389
bully,25,3.4,1.658312395
bum,46,5.804347826,1.892905647
bump,45,4.4,2.093279289
bumper,44,3.545454545,2.084879623
bumpy,26,3.576923077,2.212203913
bunch,26,3.115384615,1.796149728
bundle,46,2.891304348,1.728560877
bunny,26,5.653846154,1.440619525
burn,26,3.769230769,2.50292137
burro,27,1.703703704,1.488799589
burst,24,2.458333333,1.744037461
bury,24,3.041666667,1.899179838
bus,32,4.9375,2.242370577
bush,46,5.695652174,1.547321201
bushy,24,3.041666667,2.095111633
business,25,2.8,1.936491673
busy,23,3.52173913,2.502172969
but,32,3,2.125118593
butcher,24,1.875,1.075922254
butter,29,6.206896552,1.544097294
butterfly,28,5.785714286,1.343217333
buttocks,48,4.729166667,2.219254076
button,29,6.586206897,0.982607369
buy,24,3.541666667,2.225917821
buzz,29,2.75862069,1.864234282
by,28,2.142857143,1.603567451
bye,23,3.565217391,2.573043598
cab,32,3.96875,1.89199289
cabbage,24,5.291666667,2.115762103
cabin,26,4.692307692,1.995379278
cable,28,3.642857143,2.344643789
cactus,23,4,2.067057637
cafe,34,3.970588235,2.208596073
cafeteria,41,3.292682927,2.238793229
cage,25,3.92,2.271563338
cake,28,6.714285714,0.854493259
calf,30,4.466666667,1.814374279
call,30,3.633333333,2.173243775
caller,28,3.142857143,2.013184058
calm,45,2.911111111,2.203532517
came,26,3.461538462,1.964296703
camel,32,3.875,2.446195202
camera,25,6.08,1.351542329
camp,24,4.208333333,2.245365598
can,23,6.043478261,1.609016099
canal,23,2.652173913,1.96812545
canary,25,3.64,2.138535324
candle,28,5.071428571,1.903769583
candy,23,6.260869565,1.483772566
cane,33,4.96969697,1.878910064
canned,24,3.75,2.211629342
canoe,24,4.958333333,1.852827843
canyon,30,3.5,2.285637314
cap,23,5.47826087,2.192333029
cape,25,5.64,1.912241268
capital,23,1.913043478,1.564174004
captain,31,3.161290323,2.296327128
car,25,6.52,1.045625809
card,23,5.869565217,1.516705396
cards,25,6.24,1.331665624
care,23,3.695652174,2.224548629
careful,24,3.208333333,2.186503396
carefully,46,3.413043478,2.463746803
carnival,45,3.555555556,2.062165186
carol,33,3,2.222048604
carpenter,24,3.375,1.555145736
carrier,27,2.222222222,1.625123269
carrot,28,6.571428571,0.878912267
carrots,23,6.52173913,0.897955517
carry,29,4.793103448,2.226132302
cart,45,5.444444444,1.76526531
carton,25,4.12,2.454927019
carve,23,2.47826087,1.620032694
case,26,2.538461538,1.771570359
cash,27,4.592592593,1.906653517
cast,26,2.576923077,1.677452281
castle,24,4.583333333,2.263446135
cat,27,6.111111111,1.648620247
catalog,26,2.961538462,2.34061136
catch,23,4.956521739,1.988106931
catcher,23,3.347826087,2.12364814
catching,27,5.259259259,1.852079758
caterpillar,24,4.625,2.017585729
cattle,29,3.413793103,1.955162423
caught,32,2.8125,2.101266899
cause,27,1.814814815,1.110683678
cave,25,4.72,1.83757086
cavity,25,3.24,1.762573876
ceiling,25,4.64,2.215099697
cell,45,2.822222222,2.113687954
cellar,24,2.458333333,1.693444308
cement,31,4.806451613,1.661713069
cemetery,46,3.02173913,1.80725858
cent,23,3.869565217,1.984126733
center,46,2.97826087,1.891373756
central,27,1.888888889,1.310705428
cereal,28,6.892857143,0.416269652
certainly,25,2.04,1.567375726
chain,23,5.260869565,1.421183607
chair,28,6.785714286,0.568112069
chalk,36,6.388888889,1.293451148
champion,25,3.52,2.200757445
chance,23,2.347826087,1.668115312
change,47,3.106382979,2.118593079
chap,24,2.083333333,1.717345441
character,26,2.423076923,1.724484315
charcoal,25,3.04,1.903505538
charge,47,2.553191489,2.282337766
chart,23,3.217391304,1.756973683
chase,23,4.47826087,2.192333029
chat,24,3.75,2.048329118
cheap,31,1.806451613,1.424063548
cheat,26,2.307692308,1.490482627
cheating,25,1.8,1.190238071
check,27,3.703703704,2.180592982
checker,45,3.911111111,2.151344423
checkers,25,4.8,2.081665999
cheek,32,6.03125,1.469789869
cheer,24,3.25,1.45213486
cheerful,31,2.870967742,1.978921179
cheese,29,6.137931034,1.355521458
chemical,25,2.4,1.870828693
cherry,25,5.52,1.917463602
chest,43,5.837209302,1.744791331
chew,35,5.057142857,2.127451626
chewing,26,4.730769231,2.600887423
chick,47,4.382978723,2.048893567
chicken,35,6.142857143,1.309307341
chief,25,2.32,1.6
child,28,5.964285714,1.835496559
childhood,27,2.555555556,1.967687697
children,24,6.291666667,1.545798419
chimney,23,4.130434783,1.765949341
chin,27,5.777777778,2.136376035
china,27,3.037037037,1.870447941
chip,46,5.304347826,2.127800797
chipmunk,24,4.875,2.049655326
chocolate,31,5.903225806,2.087340233
choice,41,3.487804878,2.314324429
choir,23,3.217391304,2.214754691
choke,29,2.965517241,1.782509439
choose,25,3.92,2.080064102
chop,25,4.28,2.227105745
chopped,26,3.192307692,2.135775845
chops,25,2.16,1.650252506
chose,24,2.416666667,1.88625847
chosen,46,2.369565217,2.058680221
chum,26,2.615384615,2.246364584
chunk,23,3.217391304,1.782656897
church,27,3.407407407,2.080296933
churn,31,1.838709677,1.5076864
cigar,27,1.888888889,1.086041979
cinnamon,28,4.928571429,1.803875898
circle,32,4.84375,2.126778193
circus,26,3.307692308,1.761118526
city,23,4.739130435,1.737746485
claim,28,1.714285714,1.083791112
clang,24,3.041666667,2.312144998
clap,26,6.192307692,1.414757386
class,23,5.565217391,2.063229749
classmate,27,5.777777778,2.006400016
classroom,27,6.074074074,1.959708101
claw,27,3.740740741,1.745160178
clay,29,5.793103448,1.76026196
clean,28,4.178571429,1.98239607
cleaner,24,4.416666667,2.145098896
clear,30,2.666666667,1.728729518
clearing,26,2.5,1.96468827
clearly,46,2.239130435,1.740814402
clerk,34,2.911764706,2.094258342
clever,24,2.5,1.719453907
click,24,2.541666667,1.64129235
cliff,23,3.391304348,1.827545061
climb,27,4.444444444,2.292686253
clinic,30,3.766666667,2.112088904
clip,26,4.730769231,1.756307315
clipped,29,3.068965517,1.688850718
clock,27,5.925925926,1.465656218
close,25,3.76,2.107130751
closer,26,3.461538462,2.353393622
closet,25,5.92,1.681269362
cloth,26,5.730769231,1.457606046
clothes,27,6.962962963,0.19245009
clothing,26,6.884615385,0.431455497
cloud,30,2.9,2.249137766
cloudy,43,2.511627907,2.062962422
clover,26,3.961538462,2.374544491
clown,51,4.411764706,2.099299603
club,24,3,1.668115312
clubhouse,23,3.695652174,2.382412502
clue,26,3.076923077,2.0576312
clump,24,3.375,1.739877557
clutch,46,2.326086957,1.874440335
coach,28,3.642857143,1.704336206
coal,29,2.551724138,2.010440728
coast,29,2.310344828,1.416823617
coat,25,6.24,1.479864859
cocoa,25,4.48,1.895608961
cocoon,41,4.243902439,2.034459238
cod,23,2.739130435,1.711389422
code,42,2.452380952,1.965586624
codfish,34,2.647058824,1.967652854
coffee,24,4.833333333,1.970801352
coin,28,6.25,1.601503923
coke,30,3.466666667,2.208655908
cold,24,5.625,2.102017664
coldly,25,2.4,1.779513042
collar,24,4.791666667,1.955575456
collect,24,3.166666667,2.389590954
collection,23,2.913043478,2.06514458
college,23,2.652173913,2.080399779
colony,49,1.795918367,1.513544293
color,33,4.757575758,2.264264547
colored,26,3.653846154,2.652429945
colorful,23,3.47826087,2.171500638
coloring,27,5.703703704,1.85668884
colt,27,2.740740741,1.913365794
comb,47,6.085106383,1.471907772
combine,26,2.346153846,1.573335506
come,33,2.606060606,2.221196101
comfortable,28,3.642857143,2.214669706
comic,29,4.517241379,2.11492468
coming,24,3.25,2.269840063
command,25,2.8,1.848422751
commander,46,1.804347826,1.454793841
common,24,2.041666667,1.545798419
companion,30,3.5,2.359865572
company,32,3.15625,2.096223563
compare,44,1.840909091,1.363019593
compass,33,4.060606061,2.075743751
complete,28,2.964285714,2.027261295
computer,23,6.304347826,0.973969507
con,28,1.321428571,1.020296668
concern,26,2.461538462,1.475961225
concert,30,3.166666667,1.876962574
conductor,25,2.6,1.892969449
cone,23,5.608695652,1.751340537
consider,23,2.086956522,1.59296874
container,27,5.703703704,1.659814976
content,24,2.666666667,1.785610763
contest,45,3.133333333,2.062654953
continue,26,2.692307692,2.035077016
control,31,3.387096774,1.99461641
conversation,24,4.291666667,2.216129934
cook,24,4.875,2.401313047
cookie,37,6.378378378,1.232687925
cooking,23,4.869565217,2.11712386
cool,24,3.708333333,2.156469874
cooler,27,3.777777778,1.967687697
cop,29,4.862068966,2.030554779
copy,25,4.2,2.397915762
cord,46,4.434782609,2.237579783
corn,31,6.225806452,1.334408169
corner,30,5.133333333,1.795268366
cornmeal,29,3.310344828,2.285098439
corporal,27,1.888888889,1.846687957
correct,32,2.5625,2.031009601
correctly,24,2.5,1.956038588
cost,23,1.956521739,1.744556752
costs,23,1.739130435,0.963770592
costume,24,6.208333333,1.178767472
cot,26,3.5,2.249444376
cottage,29,3.586206897,2.130010754
cotton,23,4.434782609,2.018687399
couch,32,6.59375,1.011526314
cough,23,5.304347826,1.690475528
could,34,2.5,1.942350965
council,27,1.814814815,1.494529436
count,23,4.565217391,2.464771554
counter,25,5.76,1.690167645
country,29,3.551724138,2.080285126
couple,29,2.793103448,1.878055802
courage,26,2.5,1.72626765
course,25,2.12,1.480990659
court,26,1.653846154,1.164209867
cousin,31,5.612903226,1.819842839
cover,24,4.041666667,2.349452604
covered,34,3.029411765,2.34178505
covering,27,3.555555556,2.100061049
cow,33,4.96969697,2.068889323
coward,26,1.692307692,1.225372785
cowardly,26,1.576923077,1.270372447
cowboy,24,4.875,2.028331934
coyote,26,3.653846154,2.018758186
crab,25,4.28,1.904380914
crack,28,4.035714286,2.00890873
cracker,25,6.52,1.228820573
crackle,24,2.458333333,1.887698545
cradle,26,4.192307692,2.227451113
crane,24,3.875,2.290101574
crash,23,3.173913043,2.309115807
crate,33,3.303030303,1.976183957
crawl,29,4.931034483,2.282402157
crayfish,33,3.454545455,1.969944623
crayon,25,6.96,0.2
crazy,24,2.791666667,2.042572263
cream,31,4.870967742,1.978921179
creature,25,3.36,2.038790491
crew,23,3.47826087,2.313391159
crib,32,4.375,2.39286574
cricket,32,3.03125,1.822518198
cried,38,4.736842105,2.177082234
cries,25,4,2.598076211
crisp,26,3.423076923,1.836803243
crocodile,25,3.32,2.304343724
crooked,29,2.75862069,1.785960574
crop,26,2.615384615,1.745323422
cross,24,3.083333333,2.394135347
crossing,26,3.384615385,1.812775178
crow,30,4.233333333,2.176414852
crowd,28,4.142857143,1.97604704
crowded,25,3.12,1.715614564
crown,28,4.892857143,2.266328173
cruel,25,2.24,1.479864859
crumb,26,6.076923077,1.622912861
crumble,33,3.515151515,2.078479193
crunch,24,4,2.303116981
crush,27,3.666666667,1.941450687
cry,48,4.395833333,2.679628295
cub,27,3.444444444,2.375084344
cube,35,4.714285714,2.022977255
cup,42,6.857142857,0.417391936
cupboard,32,6.4375,1.014014697
curb,41,4.829268293,1.973606331
cure,24,1.958333333,1.82921144
curious,27,3.185185185,2.28771026
curl,28,3.214285714,2.250220448
curly,45,3.488888889,2.21176834
current,33,2,1.369306394
curtains,28,5.964285714,1.400585667
curve,27,2.740740741,1.788695111
customer,27,3.481481481,2.190370014
cut,30,4.933333333,2.651393041
cute,30,3.533333333,2.315365962
cutter,26,2.653846154,1.695695909
cutting,27,4.703703704,2.30074929
dab,26,2.692307692,1.975231243
dad,24,6.875,0.612372436
daddy,23,6.826086957,0.650326765
daily,45,2.644444444,2.133664747
dairy,26,4.153846154,2.444459984
daisy,35,5.628571429,1.6285272
dale,26,1.5,1.334166406
dam,25,2.4,1.755942292
damage,24,3.166666667,1.736229465
damp,26,3.192307692,1.959984301
dance,32,4.78125,2.498184825
dancer,26,5.153846154,1.433661262
dandelion,25,6.16,1.02794293
dandy,26,1.384615385,0.941357449
danger,27,3.37037037,1.944383393
dangerous,35,2.742857143,2.034162021
dare,24,2.041666667,1.706233244
daring,26,2.153846154,1.155588428
dark,26,4.038461538,2.568747076
darkness,33,4.545454545,2.137330536
darling,27,1.740740741,1.163304067
dart,34,2.882352941,2.041459755
dash,35,3.285714286,2.177038309
date,26,2.538461538,2.231246633
daughter,29,4.034482759,2.179166922
dawn,26,2.115384615,1.531715981
day,27,4.555555556,2.722178615
daylight,30,4.2,2.565016636
daytime,23,3.826086957,2.534349009
dazzling,27,1.777777778,1.339728254
dead,27,3.407407407,2.240522934
deaf,24,1.875,1.261899879
deal,24,2.041666667,1.39810949
dear,26,1.653846154,1.129329277
death,44,2.795454545,2.108449728
decide,23,3.304347826,2.009857132
deck,25,5.56,1.356465997
deed,31,1.387096774,0.989188872
deep,48,3.208333333,2.268736018
deer,23,3.956521739,2.383241888
defend,27,2.37037037,1.547905487
delicate,26,2.538461538,1.794007118
delight,28,2.428571429,1.874360561
deliver,34,3.323529412,2.331868652
den,26,2.884615385,2.006527808
dent,25,3.32,1.749285568
dentist,43,5.627906977,1.676493731
deny,23,1.652173913,0.934621734
derby,29,1.517241379,1.089583461
describe,24,2.583333333,1.767254482
desert,25,3,2.041241452
deserve,44,2.295454545,1.86247579
desk,33,5.878787879,1.84995905
detective,24,3.333333333,2.239306311
devil,47,1.808510638,1.512819106
dial,32,3.65625,2.33637954
diaper,27,5.222222222,2.081665999
dictionary,24,4.791666667,1.84105751
did,32,3.34375,2.404423008
die,24,2.458333333,2.12601212
difference,26,4.307692308,1.954875562
different,25,3.24,2.087262961
difficult,23,3.434782609,2.252797997
dig,28,4.714285714,2.2584351
digging,30,4.9,2.383130367
dim,27,2.740740741,1.745160178
dime,25,5.2,1.707825128
dimly,28,1.821428571,1.248808956
dimmer,47,2.85106383,1.955802108
dine,26,3.076923077,2.296485609
diner,23,3.304347826,2.304832524
dining,28,3.392857143,2.615329251
dinner,25,6.16,1.404753834
dinosaur,29,3.344827586,2.39457515
dip,28,4.178571429,2.109126051
dipper,25,2.24,1.71464282
direction,27,2.925925926,2.352182717
directions,28,3.035714286,1.99038695
dirt,42,6.30952381,1.334131585
dirty,32,3.96875,2.442689884
disappear,30,3.2,2.171921126
discover,27,3.407407407,2.291443268
discuss,25,2.36,1.680277755
discussion,23,3.086956522,2.087038865
disgust,31,2.774193548,1.927168517
disgusted,25,2.68,1.886796226
dish,27,6.740740741,0.525693139
dishes,23,6.52173913,1.081647112
dislike,27,3.037037037,1.950965865
distance,29,2.517241379,1.805165003
disturb,23,2.217391304,1.53612623
ditch,23,3.086956522,1.729767285
dive,25,3.12,1.855622088
diver,23,3.347826087,2.186917624
divide,27,3.111111111,2.044379412
dizzy,30,2.733333333,2.227312178
do,43,3.674418605,2.427235643
dock,26,3.923076923,2.076980056
doctor,25,6.04,1.337908816
does,29,2.172413793,1.649003282
dog,45,6.511111111,0.968180633
doing,26,3.615384615,2.333699605
doll,284,6.542253521,1.18066424
dollar,27,5.37037037,2.168802366
dolly,44,5.840909091,1.764549904
done,49,3.612244898,2.612600289
donkey,35,5.057142857,1.747988039
donut,27,6.259259259,1.583389563
door,24,6.791666667,0.832970936
doorbell,27,5.925925926,1.858989095
doorknob,28,6.285714286,1.46204177
doorstep,25,5.68,1.345362405
doorway,27,5.925925926,1.615452447
dope,31,1.322580645,0.908738935
dot,26,4.307692308,1.8924953
double,49,2.428571429,1.947220241
doubt,283,1.925795053,1.365015907
dough,26,5.576923077,1.390627971
dove,30,3.666666667,1.881549862
down,32,4.75,1.866513051
downhill,48,4.083333333,2.142114022
downstairs,23,5.739130435,1.863949651
downtown,49,3.408163265,2.030172071
downward,25,2.64,1.410673598
drag,23,3.217391304,2.02162225
dragging,29,3.103448276,2.304418544
dragon,30,2.166666667,2.052472577
drain,35,4.4,2.060839349
drank,25,3.52,2.485290057
drapes,24,4.791666667,1.955575456
draw,25,5.16,2.055075019
drawer,23,5.739130435,1.483772566
drawing,27,6.074074074,1.662387669
dreadful,24,1.375,0.824225592
dream,26,4.230769231,2.37162716
drenched,29,2.310344828,1.692492842
dress,23,6.434782609,1.079818459
dressing,33,5.121212121,2.204506404
drew,44,2.977272727,2.161918144
dribble,23,2.913043478,1.703286755
dried,27,3.814814815,2.202045151
drink,24,6.708333333,0.907896119
